,Title,Rating,Reviews,Brief_Description,Image_Url,WikipediaLink
63,Cresent Island,4.6,21,"Lake, safari, and giraffe",,https://en.wikipedia.org/wiki/Cresent_Island
64,Crescent Island Game Sanctuary,4.6,161,"Park, lake, safari, hippopotamus, and nature",,https://en.wikipedia.org/wiki/Crescent_Island_Game_Sanctuary
65,Kisumu Impala Sanctuary,4.6,54,"Impala, park, cheetah, lake, and safari",,https://en.wikipedia.org/wiki/Kisumu_Impala_Sanctuary
66,The Mamba Village,,,Compound building,,https://en.wikipedia.org/wiki/The_Mamba_Village
67,Ol Donyo Sabuk,4.3,116,"Park, mountain, hiking, safari, and maasai people",,https://en.wikipedia.org/wiki/Ol_Donyo_Sabuk
68,Kazuri Beads,4.5,633,"Pottery, giraffe, and shopping",,https://en.wikipedia.org/wiki/Kazuri_Beads
69,Mwaluganje Elephant Sanctuary,4.2,110,"Elephant, safari, forest, nature reserve, and safari lodge",,https://en.wikipedia.org/wiki/Mwaluganje_Elephant_Sanctuary
70,Kit-Mikayi,4.4,56,Rock formation with a fable behind it,,https://en.wikipedia.org/wiki/Kit-Mikayi
71,The Bomas of Kenya,,,Compound building,,https://en.wikipedia.org/wiki/The_Bomas_of_Kenya
72,Pate Island,4.0,2,Island,,https://en.wikipedia.org/wiki/Pate_Island
73,Watamu Marine National Park,4.5,"1,920",Nature preserve,,https://en.wikipedia.org/wiki/Watamu_Marine_National_Park
74,Central Island,4.5,11,Lake and crocodiles,,https://en.wikipedia.org/wiki/Central_Island
75,Ol Jogi Wildlife Conservancy,4.4,219,"Safari, rhinoceros, wildlife, and elephant",https://lh5.googleusercontent.com/p/AF1QipO8fhy0VCuUUscJjpyhonCejHkjzHQRSyrw1020=w464-h260-n-k-no,https://en.wikipedia.org/wiki/Ol_Jogi_Wildlife_Conservancy
76,Kaya,3.5,6,Forest,https://lh5.googleusercontent.com/p/AF1QipPpSd_8CKONFe1E-xSUN2eIvi18z79mc2mwUPJt=w464-h260-n-k-no,https://en.wikipedia.org/wiki/Kaya
77,Kiambethu Tea Farm,4.7,353,Safari,,https://en.wikipedia.org/wiki/Kiambethu_Tea_Farm
78,Lake Bogoria National Reserve,4.0,450,"Lake, phoenicopterus, and safari",,https://en.wikipedia.org/wiki/Lake_Bogoria_National_Reserve
79,Oloolua Nature Trail,4.4,"1,155",Nature trail with a waterfall & camping,,https://en.wikipedia.org/wiki/Oloolua_Nature_Trail
80,Mount Suswa,4.2,70,"Mountain, volcano, maasai people, camping, and safari",,https://en.wikipedia.org/wiki/Mount_Suswa
81,Menengai Crater,4.3,137,"Volcano, safari, and lake",,https://en.wikipedia.org/wiki/Menengai_Crater
82,Bio-Ken Snake Farm,4.2,111,Safari,,https://en.wikipedia.org/wiki/Bio-Ken_Snake_Farm
83,Olare Orok Conservancy,4.6,120,"Safari, wildebeest, leopard, maasai people, and safari lodge",,https://en.wikipedia.org/wiki/Olare_Orok_Conservancy
84,Mamba Village,4.2,487,Amusement park with a crocodile farm,,https://en.wikipedia.org/wiki/Mamba_Village
85,Kenya National Archives,4.2,"10,150",History and art,,https://en.wikipedia.org/wiki/Kenya_National_Archives
86,Point Lenana,4.5,11,Mountain and climbing,,https://en.wikipedia.org/wiki/Point_Lenana
87,OL KINYEI CONSERVANCY,4.5,4,Camping,,https://en.wikipedia.org/wiki/OL_KINYEI_CONSERVANCY
88,Ndere Island,4.2,8,Park and lake,https://lh6.googleusercontent.com/proxy/NsuTA8yT5u7r1ECxhBguVCffyu0oDbJZwU1u1gFA1iGn5zoPP7uG37_bQl3VsTEeX4vMse8bibdRXrKAP_t5SVE_C2WV0J6YZrGGS0Lk4ojfyP6m1LVqXVPji87MSOFlnzW6ok80X46T4jufzC-lE5wGi80qnoF-UWE=w464-h260-n-k-no,https://en.wikipedia.org/wiki/Ndere_Island
89,Lake Elementaita,4.4,199,Lake,,https://en.wikipedia.org/wiki/Lake_Elementaita
90,Loisaba Conservancy Headquarters & Workshop,5.0,4,"Safari, wilderness, leopard, elephant, and zebra",https://lh5.googleusercontent.com/p/AF1QipO82lqxtn64CUA97-QA-IOYy3VqJWv8yWmTHi8G=w464-h260-n-k-no,https://en.wikipedia.org/wiki/Loisaba_Conservancy_Headquarters_&_Workshop
91,Jamia Mosque,4.6,"2,659",Monumental silver-domed mosque,,https://en.wikipedia.org/wiki/Jamia_Mosque
92,Wild Waters,4.3,"2,137",Water park,,https://en.wikipedia.org/wiki/Wild_Waters
93,Vasco da Gama Pillar,4.2,715,Monument and history,,https://en.wikipedia.org/wiki/Vasco_da_Gama_Pillar
94,Ngare Ndare Forest,,,"Forest, safari, and outdoor recreation",,https://en.wikipedia.org/wiki/Ngare_Ndare_Forest
95,Lake Victoria,4.3,"3,802","Massive, iconic lake for fishing & more",,https://en.wikipedia.org/wiki/Lake_Victoria
96,Lake Natron,4.3,154,Flamingos & Ol Doinyo Lengai Volcano,,https://en.wikipedia.org/wiki/Lake_Natron
97,Mount Elgon National Park,4.2,"1,397",National park around an extinct volcano,,https://en.wikipedia.org/wiki/Mount_Elgon_National_Park
98,Mount Elgon,4.4,45,Volcanic peak with hiking & biking,,https://en.wikipedia.org/wiki/Mount_Elgon
